case_id,archive_path,bytes,sha256
real_news_000308,audio/mimo_v25_tts_p1p2_200/raw/real_news_000308.wav,2050604,dab3c4a9d258aa19449e66236431ec444626dbcf8dda53ca1cce2119b191e390
real_news_000311,audio/mimo_v25_tts_p1p2_200/raw/real_news_000311.wav,2058284,1e2975cefc0e1ebae18d49318bf270397e846a2adc6d00817ba80229db7ffbcb
real_news_000313,audio/mimo_v25_tts_p1p2_200/raw/real_news_000313.wav,1489964,38540b94eb9e2512c5d75b51bda2b7d59896215f97e2246755ccbe0d87e13190
real_news_000314,audio/mimo_v25_tts_p1p2_200/raw/real_news_000314.wav,1866284,b0fbeb07055bcc917bbf00a703658f2469bff87af8eac57fa9326c55b113dc8b
real_news_000315,audio/mimo_v25_tts_p1p2_200/raw/real_news_000315.wav,2449964,a8a0c7b84221bddb11bae22c4dd010e8439aaacc361b9995939e5e0585f8d811
real_news_000319,audio/mimo_v25_tts_p1p2_200/raw/real_news_000319.wav,1720364,9fb6fc66dfe8407d0a5427defc94fad3f3b4d1fa56e4184b7e720cc5c46e4b92
real_news_000320,audio/mimo_v25_tts_p1p2_200/raw/real_news_000320.wav,1712684,9d9d7449d760a3c335b7f1579d52c2724a74465478769d8bf572f1b8c2b73ecf
real_news_000322,audio/mimo_v25_tts_p1p2_200/raw/real_news_000322.wav,1582124,d597e7bb3dfe54b0710489cf621db26b0c3ce2f283f1ca85bc56f4589e4ade4a
real_news_000327,audio/mimo_v25_tts_p1p2_200/raw/real_news_000327.wav,1628204,04c06073e95acaf176e311b08097009375a5321329e07fbb0f5d7ca933ecb7c3
real_news_000329,audio/mimo_v25_tts_p1p2_200/raw/real_news_000329.wav,2304044,e59034ef64d42a489749ff0275349d91a9e8b345547ad7a4501f5242290a436d
real_news_000330,audio/mimo_v25_tts_p1p2_200/raw/real_news_000330.wav,2065964,572d3b0b7714442fe4258468d33a9c28e95025b67c67aa2ea201433de159c492
real_news_000332,audio/mimo_v25_tts_p1p2_200/raw/real_news_000332.wav,2181164,f887552a52250b5fcf1709254bb9e8dd3171dd683f2a2dd8b87edc0111c92a08
real_news_000333,audio/mimo_v25_tts_p1p2_200/raw/real_news_000333.wav,1881644,b906aa851e30a3d45fc96cc707b75800bedb6bfc32e541b48d1e2135e7f3a1d1
real_news_000334,audio/mimo_v25_tts_p1p2_200/raw/real_news_000334.wav,2227244,015692cdb7a583dfcaaaa45de3e303774d219686d3ecd135d59cfc6383cef711
real_news_000335,audio/mimo_v25_tts_p1p2_200/raw/real_news_000335.wav,1443884,4ae6ba2e54b8521206be4a43ee121a04613289dc78c812f6a9fb96cd07817932
real_news_000336,audio/mimo_v25_tts_p1p2_200/raw/real_news_000336.wav,1804844,c2b46d53c9d5e5f95471e9084feae165bb5273a6eeb327d3b01676f3236ff346
real_news_000337,audio/mimo_v25_tts_p1p2_200/raw/real_news_000337.wav,1927724,b5d2768052320d534392ec7695c3a63f2161796826d2284742d8bd1843c1dbfc
real_news_000341,audio/mimo_v25_tts_p1p2_200/raw/real_news_000341.wav,1681964,4e28a0cd1451f3d93f6234fc4ca2eb9f6fc707ee7d61327e0f057544677d1625
real_news_000344,audio/mimo_v25_tts_p1p2_200/raw/real_news_000344.wav,2288684,f6d8a955cb4789961c56b6c688bee5f8d16dd5fe2017b3beaa6dd562f14b651a
real_news_000349,audio/mimo_v25_tts_p1p2_200/raw/real_news_000349.wav,1528364,2a0e70e1b2770c9f61ac55b9291dd91c8bba77e1f08ed2bf33adb4b90807e338
real_news_000350,audio/mimo_v25_tts_p1p2_200/raw/real_news_000350.wav,1674284,318f0cebaa8d4cc56c100715de9e815560deddb55d5620d7913dc744db5cae43
real_news_000352,audio/mimo_v25_tts_p1p2_200/raw/real_news_000352.wav,2181164,4bc3e9bd74adb4a7ade9f3d3457e64b4c6477f650b87cd3cfd622a3f22aec552
real_news_000353,audio/mimo_v25_tts_p1p2_200/raw/real_news_000353.wav,2127404,b4001f1253f38a875eb9adeba98e2cc4b86d476a18e508bae1c5a249aca2796a
real_news_000355,audio/mimo_v25_tts_p1p2_200/raw/real_news_000355.wav,1728044,fbd43a5a5cc7057922b0715b688bc2e5590d95947aee90294b5dd5cfae416f10
real_news_000361,audio/mimo_v25_tts_p1p2_200/raw/real_news_000361.wav,1912364,b49dfd3270672b19bff317ddbd5dd129f97d80720beadf851442eb73b2a70805
real_news_000364,audio/mimo_v25_tts_p1p2_200/raw/real_news_000364.wav,2488364,2e72be8712b841e3a8b64a1e292d46da66d7868d2d5238d8faccb4504b1e850d
real_news_000366,audio/mimo_v25_tts_p1p2_200/raw/real_news_000366.wav,1996844,0acf1018d791ed6301096126ad6849c85f80b104fb2ee22650862d042a1b84b0
real_news_000368,audio/mimo_v25_tts_p1p2_200/raw/real_news_000368.wav,1989164,c303cdf0ad9650a1222d32caf76d8adf496b60bdd38182dcb6950faf09708f29
real_news_000370,audio/mimo_v25_tts_p1p2_200/raw/real_news_000370.wav,1835564,fcdb0565554b8e2de54c1f467ff208b9182127c88eae035bdcdda4423950bf5b
real_news_000373,audio/mimo_v25_tts_p1p2_200/raw/real_news_000373.wav,1658924,58b2e53907db0264645c51691f3f6f4a87426ac023c155bbf337733ba6ece5a3
real_news_000376,audio/mimo_v25_tts_p1p2_200/raw/real_news_000376.wav,1674284,9ec955a13718881bae8d9ab5f1907c254d8ed4b9844b081fb48ec401ea8c66c5
real_news_000378,audio/mimo_v25_tts_p1p2_200/raw/real_news_000378.wav,1428524,9144dcdc7c93a6d00498a1df3c3f8d9c10e4c8c3d858faa39636bd49b7e40174
real_news_000381,audio/mimo_v25_tts_p1p2_200/raw/real_news_000381.wav,1689644,170003bdfc33e4bb1d30678a3e539b8dcb9f74b9db96bf5f4b7b77c67d178778
real_news_000393,audio/mimo_v25_tts_p1p2_200/raw/real_news_000393.wav,1712684,add196f01ac90ad0c78735358913d6dce39e65d00d746c2abd361049df29eab1
real_news_000397,audio/mimo_v25_tts_p1p2_200/raw/real_news_000397.wav,1466924,b65c3978044b049b0ffcd856d87aeb007de3dda056d9da4d396f94d0bfe2ec1d
real_news_000399,audio/mimo_v25_tts_p1p2_200/raw/real_news_000399.wav,1489964,3a678a6407a656ed1104ade20d47caf472f2f98b9cf952e7af8a4a258a9d86fa
real_news_000400,audio/mimo_v25_tts_p1p2_200/raw/real_news_000400.wav,2311724,0273474beda3fdea867d9b3b1acce4c805955b4b49a0f3d709c17c1eac94d860
real_news_000405,audio/mimo_v25_tts_p1p2_200/raw/real_news_000405.wav,2211884,4514ddd73b5ad826c3e854c926d11ed69b24eeb733ef9d230d4be449adfc4b5d
real_news_000406,audio/mimo_v25_tts_p1p2_200/raw/real_news_000406.wav,1843244,2d65c299036440f6065bf48d47f9b547713155926925455ded53a3f91e3efe6b
real_news_000408,audio/mimo_v25_tts_p1p2_200/raw/real_news_000408.wav,1797164,2f3a3d77b80125ed76f8477d41dd3d3d12d5e524e8564e21b31bd7c06331104b
real_news_000409,audio/mimo_v25_tts_p1p2_200/raw/real_news_000409.wav,2004524,cd8d4c43a5953047bf8b4b4f1850b2fc4d575e5191898eeb6ded5bdee0d2ea28
real_news_000413,audio/mimo_v25_tts_p1p2_200/raw/real_news_000413.wav,1866284,daeecc52323dfbf43d446f1382f14ef52540f54a6a67ec198c4504bf5802eb01
real_news_000415,audio/mimo_v25_tts_p1p2_200/raw/real_news_000415.wav,2027564,399112aa2cf149c8cc860935252469128214f1a31b7cc4c93aad3685483ccba9
real_news_000416,audio/mimo_v25_tts_p1p2_200/raw/real_news_000416.wav,2327084,7479af4b5b246cf19f15b5c4419eb57bb0b57c9514e19d808764258a41102b23
real_news_000418,audio/mimo_v25_tts_p1p2_200/raw/real_news_000418.wav,1520684,71914a8106da61c32fd7249e3e361ea2c738a68c46fa6003bec2f212f78f03f5
real_news_000421,audio/mimo_v25_tts_p1p2_200/raw/real_news_000421.wav,2496044,a6c26c6a5c392969ae819991e84101c504f87e66b0ed0d3309557ff5fc965c02
real_news_000424,audio/mimo_v25_tts_p1p2_200/raw/real_news_000424.wav,1981484,8277cee95fe6b707f6e1471302446408db724784a2552c8657dc1259d76f9fa5
real_news_000428,audio/mimo_v25_tts_p1p2_200/raw/real_news_000428.wav,1797164,eecc990ac0d9e71adbe4daebc3a03dca9518d901f7394f52c89e4e8834cde707
real_news_000429,audio/mimo_v25_tts_p1p2_200/raw/real_news_000429.wav,2158124,e617229e86c8344b8331cecead4c628853fc155dd197b98e16697a78ec702741
real_news_000430,audio/mimo_v25_tts_p1p2_200/raw/real_news_000430.wav,1658924,45a5928c7cc3aba01506c27f9d3e3ec58f087a9a918c494c5f66d157eb1c3866
real_news_000434,audio/mimo_v25_tts_p1p2_200/raw/real_news_000434.wav,1443884,6717e4ecb158a7d444f03e0d964eb8ba6b49066f6670a19c07ba5e172c066c8a
real_news_000435,audio/mimo_v25_tts_p1p2_200/raw/real_news_000435.wav,2142764,8cb45b9802e552696aad3327c5d8bb24f9909acf51423106bb22e1ebc63b5b59
real_news_000439,audio/mimo_v25_tts_p1p2_200/raw/real_news_000439.wav,1666604,7a435d9ce8043506b964258cd06e198660c40b0522f27557b3e7de43f3e7a7d3
real_news_000442,audio/mimo_v25_tts_p1p2_200/raw/real_news_000442.wav,1850924,0f41c25c837a9b723cd7c3b54346ac6c86677810357d086669b3dcdfac976be7
real_news_000447,audio/mimo_v25_tts_p1p2_200/raw/real_news_000447.wav,1497644,7475feb7581d764e9a9b44164ce79144cdcb83272c80f9224488010da5801c4f
real_news_000451,audio/mimo_v25_tts_p1p2_200/raw/real_news_000451.wav,1728044,1a42ad99abc9faf42d7a0b24658ccc5a369701ecf45d7beae04a4b18c8f140b9
real_news_000456,audio/mimo_v25_tts_p1p2_200/raw/real_news_000456.wav,1405484,bc3c5ecaa989b93a8c939ce7151ffeb0e9a734e463c9936ed345d122e0d8802e
real_news_000472,audio/mimo_v25_tts_p1p2_200/raw/real_news_000472.wav,1889324,3f753c3825a8a756e098097d24f73be35b8e0e6ecfc3cd7cbf44f69b86cc8c15
real_news_000473,audio/mimo_v25_tts_p1p2_200/raw/real_news_000473.wav,2012204,08ae907b568a5d3ac2235c1c6cfd44dea074eb54a66a686de588ac1a43c07a99
real_news_000478,audio/mimo_v25_tts_p1p2_200/raw/real_news_000478.wav,1605164,7dd7bde6411717f4cbd69f59442945a3b05404640304b23c7c5cd847ef4ca29e
real_news_000492,audio/mimo_v25_tts_p1p2_200/raw/real_news_000492.wav,2972204,e5fbdf904455d574fdcbc51d4f18409bcbd4c7f3b18e97a30ee34f02b1c85bdc
real_news_000498,audio/mimo_v25_tts_p1p2_200/raw/real_news_000498.wav,2119724,0c35508e7e12d26c4270fb55c735fe017ffaf5a957a3b1c30be6c62613d37a8c
synthetic_004465,audio/mimo_v25_tts_p1p2_200/raw/synthetic_004465.wav,184364,fb505f1a0bbc9d39ecb98f8cb1cd58a36ab65ac872abbbf5f0cbd7e6393a8bc9
synthetic_004466,audio/mimo_v25_tts_p1p2_200/raw/synthetic_004466.wav,176684,5776d14093478569d1ae0de3319c8e7042b6f1efcafb7cf1401279ec871b628c
synthetic_004480,audio/mimo_v25_tts_p1p2_200/raw/synthetic_004480.wav,199724,cbaad90b55ef59fbeadef6b81519821b01df32712d96bcc0f28f3092eefa808f
synthetic_004481,audio/mimo_v25_tts_p1p2_200/raw/synthetic_004481.wav,176684,4b5402709e9c127899d750b787ac1c8843a6db94b7a736f3f79ce9957224fd73
